# ell deltaell
1.022060237929717275e+01 4.412047585943437156e-01
1.067154021984183032e+01 4.606709224949714354e-01
1.114237365249434220e+01 4.809959428100558654e-01
1.163398048024601650e+01 5.022177126932909630e-01
1.214727723517384383e+01 5.243757971623637104e-01
1.268322088718619156e+01 5.475115068623299663e-01
1.324281062815916243e+01 5.716679750836117790e-01
1.382708973478991865e+01 5.968902381779006561e-01
1.443714751363994786e+01 6.232253195221595377e-01
1.507412133199458992e+01 6.507223171871263645e-01
1.573919873832504024e+01 6.794324954737742672e-01
1.643361967630615439e+01 7.094093804884522569e-01
1.715867879651774786e+01 7.407088599347382285e-01
1.791572787013929968e+01 7.733892873083583197e-01
1.870617830913797519e+01 8.075115906889926976e-01
1.953150379764856837e+01 8.431393863321972049e-01
2.039324303945117123e+01 8.803390972730085196e-01
2.129300262666885146e+01 9.191800771623555022e-01
2.223246003503367518e+01 9.597347395672848336e-01
2.321336675130521598e+01 1.002078692975796770e+00
2.423755153867237055e+01 1.046290881758515923e+00
2.530692384622616586e+01 1.092453733349074696e+00
2.642347736886013010e+01 1.140653311918853774e+00
2.758929376423523294e+01 1.190979478831351912e+00
2.880654653373901652e+01 1.243526060176211701e+00
3.007750507467451939e+01 1.298391021694794034e+00
3.140453891123370767e+01 1.355676651423582513e+00
3.279012211214346451e+01 1.415489750395934720e+00
3.423683790322019149e+01 1.477941831757526359e+00
3.574738348343258565e+01 1.543149328667261955e+00
3.732457505345132631e+01 1.611233811370212266e+00
3.897135306606077165e+01 1.682322213848671311e+00
4.069078770822139290e+01 1.756547070472578298e+00
4.248608462500334326e+01 1.834046763091315313e+00
4.436059089606268913e+01 1.914965779027390624e+00
4.631780127580266537e+01 1.999454980452561870e+00
4.836136470885379879e+01 2.087671885649690751e+00
5.049509113302008956e+01 2.179780962682897894e+00
5.272295858237443866e+01 2.275953936025800317e+00
5.504912060374604721e+01 2.376370106717409669e+00
5.747791400042670773e+01 2.481216686643918479e+00
6.001386691753317848e+01 2.590689147569015915e+00
6.266170728409949930e+01 2.704991585563632839e+00
6.542637162763855940e+01 2.824337101514501569e+00
6.831301427760617173e+01 2.948948198420708877e+00
7.132701697492649373e+01 3.079057196219920911e+00
7.447399890549419865e+01 3.214906664915517354e+00
7.775982717635960739e+01 3.356749876815271705e+00
8.119062775412795929e+01 3.504851278721446306e+00
8.477279688596627238e+01 3.659486984955194089e+00
8.851301302451031461e+01 3.820945292132861937e+00
9.241824927890399977e+01 3.989527216654522590e+00
9.649578641518506572e+01 4.165547055907609320e+00
1.007532264302533633e+02 4.349332974229000115e+00
1.051985067247294836e+02 4.541227614723226225e+00
1.098399149011265052e+02 4.741588738070817044e+00
1.146861042149239722e+02 4.950789889524116916e+00
1.197461097073510246e+02 5.169221095329987747e+00
1.250293650499553735e+02 5.397289589878710103e+00
1.305457201323623906e+02 5.635420574935324112e+00
1.363054594260147496e+02 5.884058012369393964e+00
1.423193211581293554e+02 6.143665451859789073e+00
1.485985173316177566e+02 6.414726895117013328e+00
1.551547546282951089e+02 6.697747698237719760e+00
1.620002562343491661e+02 6.993255513870394680e+00
1.691477846287589273e+02 7.301801274949156095e+00
1.766106653771489903e+02 7.623960221830941464e+00
1.844028119754401018e+02 7.960332974751310076e+00
1.925387517896143095e+02 8.311546653597105205e+00
2.010336531399537421e+02 8.678256047081703173e+00
2.099033535802489610e+02 9.061144833508734564e+00
2.191643894247005164e+02 9.460926855394376389e+00
2.288340265775606497e+02 9.878347450325918544e+00
2.389302927229931868e+02 1.031418484053915563e+01
2.494720109351655992e+02 1.076925158380564085e+01
